"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"346","ACH-000345","KPNRTBM1","autonomic_ganglia","KPNRTBM1_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"347","ACH-000346","JVM3","haematopoietic_and_lymphoid_tissue","JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","CLL","DOID:1240"
"348","ACH-000347","QGP1","pancreas","QGP1_PANCREAS","pancreas","PAAD","DOID:1793"
"349","ACH-000348","RPMI7951","skin","RPMI7951_SKIN","skin","SKCM","DOID:4159"
"350","ACH-000349","HCC1500","breast","HCC1500_BREAST","breast","BRCA","DOID:1612"
"351","ACH-000350","COLO678","large_intestine","COLO678_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"352","ACH-000351","MKN1","stomach","MKN1_STOMACH","gastric","STAD","DOID:10534"
"353","ACH-000352","HCC1428","breast","HCC1428_BREAST","breast","BRCA","DOID:1612"
"354","ACH-000353","TE15","oesophagus","TE15_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"355","ACH-000354","CAPAN1","pancreas","CAPAN1_PANCREAS","pancreas","PAAD","DOID:1793"
"356","ACH-000355","NCIH82","lung","NCIH82_LUNG","lung","SCLC","DOID:1324"
"357","ACH-000356","MKN45","stomach","MKN45_STOMACH","gastric","STAD","DOID:10534"
"358","ACH-000357","JEKO1","haematopoietic_and_lymphoid_tissue","JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"359","ACH-000358","NCIH69","lung","NCIH69_LUNG","lung","SCLC","DOID:1324"
"360","ACH-000359","MG63","bone","MG63_BONE","bone","SARC","DOID:184"
"361","ACH-000360","NCIH508","large_intestine","NCIH508_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"362","ACH-000361","SKHEP1","liver","SKHEP1_LIVER","liver","LIHC","DOID:3571"
"363","ACH-000362","MOLM13","haematopoietic_and_lymphoid_tissue","MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"364","ACH-000363","SKMM2","haematopoietic_and_lymphoid_tissue","SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"365","ACH-000364","U2OS","bone","U2OS_BONE","bone","SARC","DOID:184"
"366","ACH-000365","SUDHL4","haematopoietic_and_lymphoid_tissue","SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"367","ACH-000366","SKNDZ","autonomic_ganglia","SKNDZ_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"368","ACH-000367","NCIH226","lung","NCIH226_LUNG","lung","LUSC","DOID:1324"
